event_id,ticker,event_time,source_doc_ids,usable_fact_count,source_type,source_url,release_session,agency,agency_confidence,agency_evidence,award_amount,award_amount_confidence,award_amount_evidence,contract_number,contract_number_confidence,contract_number_evidence,award_type,award_type_confidence,award_type_evidence,mapping_type,mapping_type_confidence,mapping_type_evidence,contract_type,contract_type_confidence,contract_type_evidence,naics_code,naics_code_confidence,naics_code_evidence,psc_code,psc_code_confidence,psc_code_evidence,recipient_mapping_confidence,recipient_mapping_confidence_confidence,recipient_mapping_confidence_evidence,recipient_name,recipient_name_confidence,recipient_name_evidence,period_of_performance_end,period_of_performance_end_confidence,period_of_performance_end_evidence,period_of_performance_start,period_of_performance_start_confidence,period_of_performance_start_evidence,prime_or_sub,prime_or_sub_confidence,prime_or_sub_evidence,obligated_amount,obligated_amount_confidence,obligated_amount_evidence,sub_agency,sub_agency_confidence,sub_agency_evidence,task_order_number,task_order_number_confidence,task_order_number_evidence,product_or_service_description,product_or_service_description_confidence,product_or_service_description_evidence,government_contract_event_type,government_contract_event_type_confidence,government_contract_event_type_evidence,actual_funded_award_flag,actual_funded_award_flag_confidence,actual_funded_award_flag_evidence,ceiling_only_flag,ceiling_only_flag_confidence,ceiling_only_flag_evidence,materiality_context_required_flag,materiality_context_required_flag_confidence,materiality_context_required_flag_evidence,incumbent_or_extension_flag,incumbent_or_extension_flag_confidence,incumbent_or_extension_flag_evidence,new_vs_modification,new_vs_modification_confidence,new_vs_modification_evidence,modification_flag,modification_flag_confidence,modification_flag_evidence,option_exercise_flag,option_exercise_flag_confidence,option_exercise_flag_evidence,new_work_flag,new_work_flag_confidence,new_work_flag_evidence,recompete_or_extension_flag,recompete_or_extension_flag_confidence,recompete_or_extension_flag_evidence,prime_contractor_flag,prime_contractor_flag_confidence,prime_contractor_flag_evidence,subcontractor_flag,subcontractor_flag_confidence,subcontractor_flag_evidence,parser_quality_flags,parser_quality_flags_confidence,parser_quality_flags_evidence,model_eligible_candidate_flag,contract_ceiling,contract_ceiling_confidence,contract_ceiling_evidence,mapped_ticker,mapped_ticker_confidence,mapped_ticker_evidence,parent_company_name,parent_company_name_confidence,parent_company_name_evidence,modification_number,modification_number_confidence,modification_number_evidence,subsidiary_name,subsidiary_name_confidence,subsidiary_name_evidence
government_contract_UNMAPPED_W900KK21F0034,,2021-01-14T12:00:00,usaspending_CONT_AWD_W900KK21F0034_9700_W31P4Q18D0021_9700,30,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W900KK21F0034_9700_W31P4Q18D0021_9700,unknown,Department of Defense,0.9,Department of Defense,1890154.84,0.9,source metadata,W900KK21F0034,0.9,W900KK21F0034,DELIVERY ORDER,0.9,DELIVERY ORDER,unmapped,0.9,unmapped,DELIVERY ORDER,0.9,DELIVERY ORDER,336413,0.9,336413,1270,0.9,1270,0.0,0.9,source metadata,"MICRO SYSTEMS, INC",0.9,"MICRO SYSTEMS, INC",2022-11-30,0.9,2022-11-30,2021-01-14,0.9,2021-01-14,prime,0.9,prime,1890154.84,0.9,source metadata,Department of the Army,0.9,Department of the Army,W900KK21F0034,0.9,W900KK21F0034,"FOR THE PURCHASE OF PRE-PRICED PARTS FROM THE ARMY GROUND AERIAL TARGET CONTROL SYSTEM, CONTRACT.",0.9,"FOR THE PURCHASE OF PRE-PRICED PARTS FROM THE ARMY GROUND AERIAL TARGET CONTROL SYSTEM, CONTRACT.",task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,['recipient_mapping_not_high_confidence'],0.7,recipient_mapping_not_high_confidence,False,,,,,,,,,,,,,,,
government_contract_UNMAPPED_H9240821F0007,,2021-02-04T12:00:00,usaspending_CONT_AWD_H9240821F0007_9700_H9240820D0003_9700,30,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_H9240821F0007_9700_H9240820D0003_9700,unknown,Department of Defense,0.9,Department of Defense,13943566.27,0.9,source metadata,H9240821F0007,0.9,H9240821F0007,DELIVERY ORDER,0.9,DELIVERY ORDER,unmapped,0.9,unmapped,DELIVERY ORDER,0.9,DELIVERY ORDER,541330,0.9,541330,L015,0.9,L015,0.0,0.9,source metadata,"ARCTURUS UAV, INC",0.9,"ARCTURUS UAV, INC",2023-01-20,0.9,2023-01-20,2021-02-04,0.9,2021-02-04,prime,0.9,prime,13943566.27,0.9,source metadata,U.S. Special Operations Command,0.9,U.S. Special Operations Command,H9240821F0007,0.9,H9240821F0007,IRS SERVICES,0.9,IRS SERVICES,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,['recipient_mapping_not_high_confidence'],0.7,recipient_mapping_not_high_confidence,False,,,,,,,,,,,,,,,
government_contract_UNMAPPED_N6833521F0171,,2021-02-10T12:00:00,usaspending_CONT_AWD_N6833521F0171_9700_N6833521D0214_9700,30,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6833521F0171_9700_N6833521D0214_9700,unknown,Department of Defense,0.9,Department of Defense,3094998.0,0.9,source metadata,N6833521F0171,0.9,N6833521F0171,DELIVERY ORDER,0.9,DELIVERY ORDER,unmapped,0.9,unmapped,DELIVERY ORDER,0.9,DELIVERY ORDER,332311,0.9,332311,5411,0.9,5411,0.0,0.9,source metadata,"GICHNER SYSTEMS GROUP, INC.",0.9,"GICHNER SYSTEMS GROUP, INC.",2022-01-26,0.9,2022-01-26,2021-02-10,0.9,2021-02-10,prime,0.9,prime,3094998.0,0.9,source metadata,Department of the Navy,0.9,Department of the Navy,N6833521F0171,0.9,N6833521F0171,MOBILE FACILITIES,0.9,MOBILE FACILITIES,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,['recipient_mapping_not_high_confidence'],0.7,recipient_mapping_not_high_confidence,False,,,,,,,,,,,,,,,
government_contract_UNMAPPED_N5523621F9990,,2021-02-15T12:00:00,usaspending_CONT_AWD_N5523621F9990_9700_N0002421D4103_9700,30,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N5523621F9990_9700_N0002421D4103_9700,unknown,Department of Defense,0.9,Department of Defense,7868792.0,0.9,source metadata,N5523621F9990,0.9,N5523621F9990,DELIVERY ORDER,0.9,DELIVERY ORDER,unmapped,0.9,unmapped,DELIVERY ORDER,0.9,DELIVERY ORDER,336611,0.9,336611,J999,0.9,J999,0.0,0.9,source metadata,HII FLEET SUPPORT GROUP LLC,0.9,HII FLEET SUPPORT GROUP LLC,2022-01-28,0.9,2022-01-28,2021-02-15,0.9,2021-02-15,prime,0.9,prime,7868792.0,0.9,source metadata,Department of the Navy,0.9,Department of the Navy,N5523621F9990,0.9,N5523621F9990,LABOR SUPPORT,0.9,LABOR SUPPORT,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,['recipient_mapping_not_high_confidence'],0.7,recipient_mapping_not_high_confidence,False,,,,,,,,,,,,,,,
government_contract_UNMAPPED_N6833521F0198,,2021-02-26T12:00:00,usaspending_CONT_AWD_N6833521F0198_9700_N6833520D0032_9700,30,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6833521F0198_9700_N6833520D0032_9700,unknown,Department of Defense,0.9,Department of Defense,17070905.23,0.9,source metadata,N6833521F0198,0.9,N6833521F0198,DELIVERY ORDER,0.9,DELIVERY ORDER,unmapped,0.9,unmapped,DELIVERY ORDER,0.9,DELIVERY ORDER,541715,0.9,541715,AC12,0.9,AC12,0.0,0.9,source metadata,PHYSICAL OPTICS CORPORATION,0.9,PHYSICAL OPTICS CORPORATION,2022-06-30,0.9,2022-06-30,2021-02-26,0.9,2021-02-26,prime,0.9,prime,17070905.23,0.9,source metadata,Department of the Navy,0.9,Department of the Navy,N6833521F0198,0.9,N6833521F0198,FY 21 ADTS HARDWARE PURCHASE FOR MULTI PLATFORMS,0.9,FY 21 ADTS HARDWARE PURCHASE FOR MULTI PLATFORMS,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,['recipient_mapping_not_high_confidence'],0.7,recipient_mapping_not_high_confidence,False,,,,,,,,,,,,,,,
government_contract_UNMAPPED_W900KK21F0051,,2021-02-28T12:00:00,usaspending_CONT_AWD_W900KK21F0051_9700_W31P4Q18D0021_9700,30,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W900KK21F0051_9700_W31P4Q18D0021_9700,unknown,Department of Defense,0.9,Department of Defense,1925823.8,0.9,source metadata,W900KK21F0051,0.9,W900KK21F0051,DELIVERY ORDER,0.9,DELIVERY ORDER,unmapped,0.9,unmapped,DELIVERY ORDER,0.9,DELIVERY ORDER,336413,0.9,336413,1270,0.9,1270,0.0,0.9,source metadata,"MICRO SYSTEMS, INC",0.9,"MICRO SYSTEMS, INC",2022-03-25,0.9,2022-03-25,2021-02-28,0.9,2021-02-28,prime,0.9,prime,1925823.8,0.9,source metadata,Department of the Army,0.9,Department of the Army,W900KK21F0051,0.9,W900KK21F0051,PRODUCTION LINE ITEM AY11400-3. PRE-PRICED PRODUCTION PARTS. PARTS NEEDED TO SUPPORT THE OPERATION AND MAINTENANCE OF THE ARMY GROUND AERIAL CONTROL SYSTEM.,0.9,PRODUCTION LINE ITEM AY11400-3. PRE-PRICED PRODUCTION PARTS. PARTS NEEDED TO SUPPORT THE OPERATION AND MAINTENANCE OF THE ARMY GROUND AERIAL CONTROL SYSTEM.,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,['recipient_mapping_not_high_confidence'],0.7,recipient_mapping_not_high_confidence,False,,,,,,,,,,,,,,,
government_contract_UNMAPPED_N5005421F5074,,2021-03-07T12:00:00,usaspending_CONT_AWD_N5005421F5074_9700_N5005414D1408_9700,30,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N5005421F5074_9700_N5005414D1408_9700,unknown,Department of Defense,0.9,Department of Defense,4707753.95,0.9,source metadata,N5005421F5074,0.9,N5005421F5074,DELIVERY ORDER,0.9,DELIVERY ORDER,unmapped,0.9,unmapped,DELIVERY ORDER,0.9,DELIVERY ORDER,336611,0.9,336611,J998,0.9,J998,0.0,0.9,source metadata,HII FLEET SUPPORT GROUP LLC,0.9,HII FLEET SUPPORT GROUP LLC,2021-08-03,0.9,2021-08-03,2021-03-07,0.9,2021-03-07,prime,0.9,prime,4707753.95,0.9,source metadata,Department of the Navy,0.9,Department of the Navy,N5005421F5074,0.9,N5005421F5074,BRIDGE - OPTION 1 - SEVENTH YEAR EFFORT,0.9,BRIDGE - OPTION 1 - SEVENTH YEAR EFFORT,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,['recipient_mapping_not_high_confidence'],0.7,recipient_mapping_not_high_confidence,False,,,,,,,,,,,,,,,
government_contract_UNMAPPED_N0001921F0149,,2021-03-16T12:00:00,usaspending_CONT_AWD_N0001921F0149_9700_N0001919D0020_9700,30,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0001921F0149_9700_N0001919D0020_9700,unknown,Department of Defense,0.9,Department of Defense,2814123.15,0.9,source metadata,N0001921F0149,0.9,N0001921F0149,DELIVERY ORDER,0.9,DELIVERY ORDER,unmapped,0.9,unmapped,DELIVERY ORDER,0.9,DELIVERY ORDER,336419,0.9,336419,1420,0.9,1420,0.0,0.9,source metadata,"MICRO SYSTEMS, INC",0.9,"MICRO SYSTEMS, INC",2022-04-21,0.9,2022-04-21,2021-03-16,0.9,2021-03-16,prime,0.9,prime,2814123.15,0.9,source metadata,Department of the Navy,0.9,Department of the Navy,N0001921F0149,0.9,N0001921F0149,"AIRBORNE TRANSPONDER , MODEL 600TR",0.9,"AIRBORNE TRANSPONDER , MODEL 600TR",task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,['recipient_mapping_not_high_confidence'],0.7,recipient_mapping_not_high_confidence,False,,,,,,,,,,,,,,,
government_contract_UNMAPPED_N0001921F0368,,2021-03-17T12:00:00,usaspending_CONT_AWD_N0001921F0368_9700_N0001918D0109_9700,30,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0001921F0368_9700_N0001918D0109_9700,unknown,Department of Defense,0.9,Department of Defense,3516412.8,0.9,source metadata,N0001921F0368,0.9,N0001921F0368,DELIVERY ORDER,0.9,DELIVERY ORDER,unmapped,0.9,unmapped,DELIVERY ORDER,0.9,DELIVERY ORDER,334511,0.9,334511,1420,0.9,1420,0.0,0.9,source metadata,"MICRO SYSTEMS, INC",0.9,"MICRO SYSTEMS, INC",2021-11-12,0.9,2021-11-12,2021-03-17,0.9,2021-03-17,prime,0.9,prime,3516412.8,0.9,source metadata,Department of the Navy,0.9,Department of the Navy,N0001921F0368,0.9,N0001921F0368,"AN/DSQ-50A TRANSPONDER, L BAND",0.9,"AN/DSQ-50A TRANSPONDER, L BAND",task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,['recipient_mapping_not_high_confidence'],0.7,recipient_mapping_not_high_confidence,False,,,,,,,,,,,,,,,
government_contract_UNMAPPED_N6279321F0001,,2021-03-22T12:00:00,usaspending_CONT_AWD_N6279321F0001_9700_N0002421D4103_9700,30,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6279321F0001_9700_N0002421D4103_9700,unknown,Department of Defense,0.9,Department of Defense,6783656.56,0.9,source metadata,N6279321F0001,0.9,N6279321F0001,DELIVERY ORDER,0.9,DELIVERY ORDER,unmapped,0.9,unmapped,DELIVERY ORDER,0.9,DELIVERY ORDER,336611,0.9,336611,1905,0.9,1905,0.0,0.9,source metadata,HII FLEET SUPPORT GROUP LLC,0.9,HII FLEET SUPPORT GROUP LLC,2022-03-21,0.9,2022-03-21,2021-03-22,0.9,2021-03-22,prime,0.9,prime,6783656.56,0.9,source metadata,Department of the Navy,0.9,Department of the Navy,N6279321F0001,0.9,N6279321F0001,CVN 74 RCOH ESU,0.9,CVN 74 RCOH ESU,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,['recipient_mapping_not_high_confidence'],0.7,recipient_mapping_not_high_confidence,False,,,,,,,,,,,,,,,
